order_item_id,order_id,brand,category,price,discount,sale_flag
1,1,Zara,Lingerie,46.07,0.0,0
2,2,Chanel,Swimwear,835.05,0.0,0
3,2,Chanel,Swimwear,413.68,0.0,0
4,2,Chanel,Jeans,1938.62,0.0,0
5,3,H&M,Beauty,10.0,3.01,1
6,3,H&M,Jeans,62.0,0.0,0
7,3,H&M,Dresses,68.02,0.0,0
8,4,Girlfriend Collective,Lingerie,69.35,0.0,0
9,4,Girlfriend Collective,Tops,38.57,0.0,0
10,4,Girlfriend Collective,Home,91.78,30.2,1
11,5,Urban Outfitters,Tops,108.16,0.0,0
12,5,Urban Outfitters,Footwear,77.77,0.0,0
13,5,Urban Outfitters,Lingerie,38.03,0.0,0
14,6,H&M,Swimwear,32.78,8.77,1
15,7,Zara,Activewear,130.03,0.0,0
16,7,Zara,Swimwear,59.5,0.0,0
17,7,Zara,Home,27.77,6.71,1
18,8,Prada,Jeans,1528.57,0.0,0
19,9,Under Armour,Bags,82.54,0.0,0
20,9,Under Armour,Swimwear,119.27,0.0,0
21,9,Under Armour,Footwear,112.33,0.0,0
22,10,Girlfriend Collective,Swimwear,76.73,21.46,1
23,10,Girlfriend Collective,Footwear,99.81,0.0,0
24,10,Girlfriend Collective,Accessories,86.56,5.23,1
25,11,Loewe,Tops,941.13,0.0,0
26,11,Loewe,Activewear,1028.66,0.0,0
27,12,H&M,Footwear,85.91,11.12,1
28,12,H&M,Activewear,78.67,23.07,1
29,13,Chanel,Footwear,959.29,0.0,0
30,13,Chanel,Bags,10000.0,0.0,0
31,13,Chanel,Dresses,2046.09,0.0,0
32,14,H&M,Footwear,87.16,0.0,0
33,15,Prada,Home,904.63,0.0,0
34,16,H&M,Tops,83.71,0.0,0
35,16,H&M,Jeans,43.92,0.0,0
36,16,H&M,Jeans,34.07,9.18,1
37,17,Zara,Accessories,49.67,7.49,1
38,17,Zara,Lingerie,15.7,0.0,0
39,18,H&M,Accessories,54.91,0.0,0
40,18,H&M,Jeans,36.46,0.0,0
41,18,H&M,Bags,72.65,0.0,0
42,19,Zara,Accessories,90.57,0.0,0
43,19,Zara,Dresses,70.12,12.21,1
44,20,Shein,Beauty,30.7,4.34,1
45,20,Shein,Lingerie,21.69,0.0,0
46,20,Shein,Lingerie,22.29,1.41,1
47,21,Zara,Dresses,25.98,1.72,1
48,21,Zara,Jeans,84.55,0.0,0
49,21,Zara,Tops,88.5,0.0,0
50,22,Urban Outfitters,Activewear,88.72,0.0,0
51,22,Urban Outfitters,Activewear,100.94,0.0,0
52,23,Chanel,Tops,912.62,0.0,0
53,23,Chanel,Swimwear,505.19,51.07,1
54,23,Chanel,Activewear,1018.9,0.0,0
55,24,Urban Outfitters,Dresses,66.34,0.0,0
56,25,H&M,Accessories,63.91,10.49,1
57,25,H&M,Footwear,80.61,0.0,0
58,25,H&M,Swimwear,48.8,5.35,1
59,26,Zara,Outerwear,10.0,0.0,0
60,26,Zara,Home,101.71,15.67,1
61,26,Zara,Footwear,71.96,0.0,0
62,27,Girlfriend Collective,Tops,86.81,0.0,0
63,27,Girlfriend Collective,Activewear,67.24,21.46,1
64,28,Chanel,Beauty,788.62,0.0,0
65,28,Chanel,Beauty,1207.42,0.0,0
66,28,Chanel,Lingerie,522.38,0.0,0
67,29,Under Armour,Beauty,71.83,15.26,1
68,30,Chanel,Jeans,1399.55,0.0,0
69,30,Chanel,Beauty,771.69,0.0,0
70,30,Chanel,Footwear,1124.88,0.0,0
71,31,Shein,Home,29.73,4.33,1
72,32,Urban Outfitters,Home,101.86,0.0,0
73,32,Urban Outfitters,Dresses,102.05,5.9,1
74,32,Urban Outfitters,Lingerie,112.01,0.0,0
75,33,Zara,Footwear,50.09,14.22,1
76,34,Zara,Bags,73.36,0.0,0
77,34,Zara,Activewear,76.57,13.21,1
78,35,Zara,Activewear,54.57,0.0,0
79,35,Zara,Jeans,60.23,0.0,0
80,35,Zara,Lingerie,38.01,0.0,0
81,36,Urban Outfitters,Lingerie,65.36,0.0,0
82,37,Girlfriend Collective,Lingerie,73.38,0.0,0
83,37,Girlfriend Collective,Beauty,44.9,0.0,0
84,37,Girlfriend Collective,Swimwear,107.24,20.06,1
85,38,Loewe,Swimwear,939.1,0.0,0
86,39,Shein,Outerwear,21.89,0.0,0
87,39,Shein,Bags,16.95,2.34,1
88,40,Prada,Dresses,1882.7,0.0,0
89,40,Prada,Jeans,1721.62,0.0,0
90,41,Urban Outfitters,Tops,40.28,9.15,1
91,41,Urban Outfitters,Bags,122.52,18.04,1
92,42,H&M,Bags,70.99,0.0,0
93,42,H&M,Swimwear,71.6,0.0,0
94,42,H&M,Lingerie,72.17,0.0,0
95,43,Gucci,Lingerie,978.76,0.0,0
96,43,Gucci,Jeans,852.32,0.0,0
97,44,Shein,Bags,20.79,0.0,0
98,44,Shein,Dresses,21.78,0.0,0
99,44,Shein,Tops,26.89,0.0,0
100,45,Urban Outfitters,Swimwear,54.85,0.0,0
101,45,Urban Outfitters,Bags,23.05,5.22,1
102,46,Urban Outfitters,Lingerie,30.7,9.66,1
103,46,Urban Outfitters,Lingerie,37.74,0.0,0
104,46,Urban Outfitters,Tops,20.0,1.33,1
105,47,Prada,Lingerie,918.59,0.0,0
106,47,Prada,Footwear,899.47,0.0,0
107,47,Prada,Dresses,1327.64,0.0,0
108,48,Girlfriend Collective,Home,77.48,0.0,0
109,48,Girlfriend Collective,Jeans,40.03,0.0,0
110,48,Girlfriend Collective,Footwear,82.49,0.0,0
111,49,Shein,Dresses,21.76,0.0,0
112,49,Shein,Dresses,13.79,0.0,0
113,50,Shein,Swimwear,24.66,2.78,1
114,50,Shein,Dresses,31.35,0.0,0
115,51,Chanel,Home,782.3,0.0,0
116,51,Chanel,Footwear,500.0,0.0,0
117,51,Chanel,Lingerie,634.0,0.0,0
118,52,Urban Outfitters,Lingerie,37.17,5.1,1
119,53,H&M,Dresses,64.42,0.0,0
120,53,H&M,Lingerie,10.0,0.0,0
121,53,H&M,Tops,72.45,0.0,0
122,54,Girlfriend Collective,Outerwear,92.33,0.0,0
123,54,Girlfriend Collective,Outerwear,94.9,0.0,0
124,54,Girlfriend Collective,Footwear,80.25,0.0,0
125,55,Urban Outfitters,Lingerie,30.44,0.0,0
126,55,Urban Outfitters,Activewear,20.0,0.0,0
127,55,Urban Outfitters,Beauty,97.78,0.0,0
128,56,Urban Outfitters,Bags,63.84,0.0,0
129,56,Urban Outfitters,Footwear,55.15,0.0,0
130,56,Urban Outfitters,Home,81.64,16.84,1
131,57,Zara,Footwear,37.07,0.0,0
132,57,Zara,Dresses,60.88,0.0,0
133,57,Zara,Tops,91.68,0.0,0
134,58,Zara,Outerwear,63.61,0.0,0
135,59,Urban Outfitters,Activewear,71.88,0.0,0
136,59,Urban Outfitters,Activewear,37.6,0.0,0
137,60,Gucci,Dresses,1716.73,0.0,0
138,61,Zara,Home,56.53,0.0,0
139,61,Zara,Footwear,80.82,25.18,1
140,62,Chanel,Accessories,667.79,0.0,0
141,62,Chanel,Dresses,941.93,310.56,1
142,63,Urban Outfitters,Dresses,50.07,0.0,0
143,64,Under Armour,Beauty,99.03,0.0,0
144,64,Under Armour,Activewear,58.71,7.81,1
145,65,Zara,Outerwear,43.83,14.79,1
146,66,Under Armour,Footwear,105.49,0.0,0
147,66,Under Armour,Lingerie,122.97,8.78,1
148,66,Under Armour,Footwear,83.91,0.0,0
149,67,Urban Outfitters,Tops,61.71,4.08,1
150,67,Urban Outfitters,Accessories,117.67,26.93,1
151,67,Urban Outfitters,Beauty,95.93,0.0,0
152,68,Shein,Home,40.34,0.0,0
153,69,Under Armour,Home,81.63,0.0,0
154,70,Urban Outfitters,Jeans,120.51,0.0,0
155,71,Urban Outfitters,Beauty,35.12,0.0,0
156,71,Urban Outfitters,Bags,109.29,0.0,0
157,71,Urban Outfitters,Bags,28.71,5.56,1
158,72,Girlfriend Collective,Swimwear,102.04,30.13,1
159,73,Gucci,Bags,2278.48,0.0,0
160,73,Gucci,Activewear,887.21,0.0,0
161,73,Gucci,Jeans,1662.19,0.0,0
162,74,Zara,Lingerie,91.88,0.0,0
163,74,Zara,Lingerie,54.66,0.0,0
164,74,Zara,Home,46.19,11.49,1
165,75,Under Armour,Footwear,148.34,0.0,0
166,75,Under Armour,Jeans,58.84,0.0,0
167,76,Chanel,Accessories,436.21,0.0,0
168,76,Chanel,Beauty,625.57,0.0,0
169,76,Chanel,Jeans,1806.52,0.0,0
170,77,Girlfriend Collective,Swimwear,112.3,0.0,0
171,77,Girlfriend Collective,Lingerie,95.72,0.0,0
172,78,Under Armour,Outerwear,56.17,0.0,0
173,78,Under Armour,Home,105.42,0.0,0
174,78,Under Armour,Dresses,66.0,0.0,0
175,79,Prada,Footwear,999.65,0.0,0
176,80,H&M,Tops,30.22,7.88,1
177,80,H&M,Beauty,64.33,0.0,0
178,81,Urban Outfitters,Beauty,109.58,10.05,1
179,82,Prada,Outerwear,3488.64,0.0,0
180,83,H&M,Tops,81.04,25.57,1
181,83,H&M,Accessories,56.93,0.0,0
182,83,H&M,Dresses,16.54,4.83,1
183,84,Urban Outfitters,Swimwear,20.0,0.0,0
184,84,Urban Outfitters,Footwear,73.28,13.0,1
185,85,Chanel,Accessories,630.45,0.0,0
186,85,Chanel,Footwear,725.26,44.5,1
187,86,Under Armour,Dresses,56.48,15.22,1
188,86,Under Armour,Bags,53.73,0.0,0
189,86,Under Armour,Lingerie,111.8,21.44,1
190,87,Girlfriend Collective,Swimwear,55.17,0.0,0
191,87,Girlfriend Collective,Bags,48.23,0.0,0
192,88,Shein,Outerwear,36.52,9.44,1
193,88,Shein,Home,16.44,0.0,0
194,89,Girlfriend Collective,Jeans,69.13,0.0,0
195,89,Girlfriend Collective,Outerwear,93.5,0.0,0
196,89,Girlfriend Collective,Tops,63.89,0.0,0
197,90,Prada,Outerwear,3882.07,0.0,0
198,90,Prada,Outerwear,3321.34,0.0,0
199,91,Loewe,Jeans,1397.26,0.0,0
200,91,Loewe,Jeans,828.62,0.0,0
201,91,Loewe,Bags,1616.77,0.0,0
202,92,Loewe,Lingerie,657.65,0.0,0
203,93,Gucci,Beauty,842.26,0.0,0
204,94,Under Armour,Tops,30.0,0.0,0
205,94,Under Armour,Tops,124.89,21.18,1
206,95,Shein,Accessories,34.08,0.0,0
207,95,Shein,Swimwear,31.02,0.0,0
208,95,Shein,Outerwear,19.65,0.0,0
209,96,Loewe,Tops,1693.03,0.0,0
210,96,Loewe,Beauty,895.76,0.0,0
211,96,Loewe,Lingerie,668.01,0.0,0
212,97,Zara,Outerwear,94.56,0.0,0
213,98,Chanel,Activewear,1187.99,0.0,0
214,98,Chanel,Home,1196.77,0.0,0
215,98,Chanel,Swimwear,974.53,51.2,1
216,99,H&M,Beauty,43.34,0.0,0
217,100,Zara,Lingerie,62.15,20.61,1
218,101,Chanel,Dresses,1568.57,0.0,0
219,102,Prada,Jeans,700.0,0.0,0
220,102,Prada,Beauty,646.61,0.0,0
221,102,Prada,Bags,1736.91,0.0,0
222,103,Zara,Outerwear,61.32,0.0,0
223,104,Loewe,Outerwear,3550.69,0.0,0
224,104,Loewe,Bags,1967.72,0.0,0
225,105,Girlfriend Collective,Jeans,85.93,0.0,0
226,106,Loewe,Outerwear,3884.91,0.0,0
227,106,Loewe,Dresses,1907.77,0.0,0
228,106,Loewe,Bags,1500.0,298.97,1
229,107,Girlfriend Collective,Jeans,88.18,0.0,0
230,107,Girlfriend Collective,Lingerie,30.0,7.87,1
231,108,Urban Outfitters,Dresses,48.77,0.0,0
232,108,Urban Outfitters,Accessories,43.77,0.0,0
233,108,Urban Outfitters,Dresses,141.16,0.0,0
234,109,Urban Outfitters,Beauty,98.79,20.79,1
235,109,Urban Outfitters,Dresses,107.14,0.0,0
236,109,Urban Outfitters,Beauty,43.87,9.49,1
237,110,Chanel,Beauty,684.82,0.0,0
238,111,Chanel,Tops,1698.81,0.0,0
239,112,Urban Outfitters,Beauty,52.3,0.0,0
240,112,Urban Outfitters,Bags,40.81,0.0,0
241,112,Urban Outfitters,Tops,26.97,0.0,0
242,113,H&M,Beauty,60.03,0.0,0
243,113,H&M,Swimwear,88.51,19.81,1
244,113,H&M,Tops,72.64,0.0,0
245,114,Loewe,Tops,1140.51,0.0,0
246,114,Loewe,Jeans,1824.76,437.57,1
247,114,Loewe,Dresses,1353.58,0.0,0
248,115,H&M,Lingerie,55.38,16.13,1
249,115,H&M,Footwear,72.72,0.0,0
250,115,H&M,Accessories,37.21,0.0,0
251,116,Prada,Tops,1473.77,0.0,0
252,117,Zara,Jeans,10.0,0.0,0
253,117,Zara,Jeans,14.18,0.0,0
254,118,H&M,Lingerie,67.67,0.0,0
255,118,H&M,Tops,34.15,0.0,0
256,118,H&M,Tops,80.95,26.54,1
257,119,Chanel,Home,558.21,0.0,0
258,119,Chanel,Beauty,822.95,0.0,0
259,120,Loewe,Home,593.13,61.69,1
260,120,Loewe,Lingerie,969.31,0.0,0
261,120,Loewe,Outerwear,3504.43,0.0,0
262,121,H&M,Dresses,111.83,0.0,0
263,121,H&M,Swimwear,70.65,19.86,1
264,121,H&M,Activewear,73.64,0.0,0
265,122,Chanel,Bags,9231.15,0.0,0
266,122,Chanel,Tops,1824.95,0.0,0
267,123,Urban Outfitters,Lingerie,69.88,0.0,0
268,123,Urban Outfitters,Tops,50.25,3.3,1
269,124,Gucci,Swimwear,795.16,0.0,0
270,124,Gucci,Home,811.02,0.0,0
271,125,Zara,Footwear,36.07,3.0,1
272,125,Zara,Dresses,10.0,1.74,1
273,125,Zara,Accessories,82.05,0.0,0
274,126,H&M,Jeans,58.79,13.69,1
275,126,H&M,Accessories,60.57,0.0,0
276,127,Loewe,Footwear,831.43,0.0,0
277,128,H&M,Bags,98.0,0.0,0
278,128,H&M,Activewear,21.14,0.0,0
279,129,Under Armour,Activewear,100.33,30.81,1
280,129,Under Armour,Activewear,61.78,0.0,0
281,129,Under Armour,Outerwear,106.13,18.94,1
282,130,Urban Outfitters,Lingerie,20.0,0.0,0
283,131,Loewe,Bags,2110.93,0.0,0
284,132,Under Armour,Home,30.0,0.0,0
285,132,Under Armour,Bags,64.43,14.02,1
286,133,H&M,Activewear,39.73,0.0,0
287,133,H&M,Tops,52.62,0.0,0
288,134,Prada,Lingerie,1037.69,193.48,1
289,134,Prada,Home,845.89,0.0,0
290,134,Prada,Beauty,745.92,0.0,0
291,135,Urban Outfitters,Footwear,24.71,0.0,0
292,135,Urban Outfitters,Accessories,85.73,0.0,0
293,135,Urban Outfitters,Swimwear,108.4,0.0,0
294,136,Chanel,Swimwear,836.91,0.0,0
295,137,H&M,Bags,60.43,0.0,0
296,137,H&M,Footwear,50.47,10.98,1
297,138,Loewe,Swimwear,894.11,0.0,0
298,139,Shein,Swimwear,17.28,0.0,0
299,139,Shein,Tops,28.71,4.41,1
300,140,Chanel,Swimwear,630.23,0.0,0
301,140,Chanel,Lingerie,1132.18,0.0,0
302,140,Chanel,Home,592.36,0.0,0
303,141,H&M,Jeans,57.65,0.0,0
304,141,H&M,Dresses,40.27,3.37,1
305,142,Prada,Beauty,1074.18,187.94,1
306,142,Prada,Swimwear,528.34,0.0,0
307,142,Prada,Footwear,1125.67,0.0,0
308,143,Zara,Activewear,17.32,0.0,0
309,144,Under Armour,Beauty,91.65,0.0,0
310,144,Under Armour,Lingerie,117.43,0.0,0
311,144,Under Armour,Swimwear,139.51,0.0,0
312,145,Zara,Activewear,61.8,0.0,0
313,145,Zara,Tops,84.33,11.41,1
314,146,Zara,Home,65.31,0.0,0
315,147,Zara,Footwear,62.11,0.0,0
316,148,Zara,Home,72.32,10.49,1
317,148,Zara,Jeans,38.76,0.0,0
318,148,Zara,Jeans,23.06,0.0,0
319,149,Loewe,Bags,1835.8,0.0,0
320,150,Girlfriend Collective,Bags,48.25,0.0,0
321,150,Girlfriend Collective,Beauty,91.85,20.17,1
322,151,Chanel,Jeans,1023.05,0.0,0
323,152,Urban Outfitters,Bags,102.41,0.0,0
324,153,Under Armour,Outerwear,66.24,4.97,1
325,154,Zara,Lingerie,107.61,0.0,0
326,154,Zara,Beauty,72.33,0.0,0
327,155,Urban Outfitters,Outerwear,71.83,0.0,0
328,156,Zara,Home,43.18,0.0,0
329,156,Zara,Outerwear,55.61,14.93,1
330,157,Prada,Dresses,1505.64,0.0,0
331,157,Prada,Bags,1610.59,0.0,0
332,157,Prada,Footwear,902.97,0.0,0
333,158,H&M,Outerwear,60.8,0.0,0
334,158,H&M,Bags,97.02,0.0,0
335,158,H&M,Activewear,52.37,8.62,1
336,159,Prada,Lingerie,594.79,0.0,0
337,159,Prada,Home,1139.44,0.0,0
338,160,Zara,Beauty,54.47,0.0,0
339,160,Zara,Beauty,68.94,0.0,0
340,160,Zara,Jeans,52.64,0.0,0
