order_id,customer_id,order_date,channel,payment_method,total_value
1,1255,2025-04-04,online,giftcard,46.07
2,606,2025-06-12,store,giftcard,3187.34
3,1288,2025-07-13,online,applepay,137.01
4,1147,2024-10-28,store,card,169.51
5,984,2023-12-19,online,giftcard,223.95
6,549,2025-03-15,store,paypal,24.01
7,1431,2025-07-08,store,applepay,210.59
8,457,2024-01-10,store,paypal,1528.57
9,493,2024-02-21,store,giftcard,314.14
10,1387,2024-01-06,online,paypal,236.41
11,12,2024-10-30,store,paypal,1969.79
12,57,2025-04-30,store,paypal,130.39
13,289,2025-01-14,online,applepay,13005.38
14,1479,2024-04-24,store,card,87.16
15,1311,2025-10-01,online,applepay,904.63
16,556,2024-02-24,store,card,152.53
17,818,2024-09-07,store,giftcard,57.88
18,758,2024-02-01,online,paypal,164.02
19,36,2025-09-14,store,paypal,148.48
20,1259,2025-06-01,online,giftcard,68.93
21,1167,2024-08-06,store,applepay,197.31
22,1415,2024-05-24,store,paypal,189.66
23,117,2024-08-02,store,card,2385.64
24,325,2024-09-13,store,card,66.34
25,1397,2024-09-20,online,card,177.49
26,368,2024-03-20,store,card,168.0
27,971,2024-05-29,online,card,132.59
28,579,2025-08-14,store,applepay,2518.43
29,1479,2025-02-16,online,giftcard,56.57
30,791,2024-03-09,online,paypal,3296.12
31,176,2024-08-27,store,giftcard,25.4
32,400,2024-08-24,online,paypal,310.02
33,950,2024-10-28,store,giftcard,35.87
34,1315,2023-12-18,store,applepay,136.72
35,1235,2023-12-05,store,paypal,152.82
36,138,2024-12-13,store,applepay,65.36
37,998,2024-12-04,online,applepay,205.46
38,845,2025-10-29,online,paypal,939.1
39,68,2024-03-06,online,applepay,36.5
40,1222,2024-04-05,online,applepay,3604.33
41,186,2024-02-29,online,card,135.61
42,738,2024-05-13,store,card,214.77
43,1193,2025-04-10,online,applepay,1831.08
44,1089,2023-11-30,online,applepay,69.46
45,151,2025-02-21,store,applepay,72.68
46,69,2024-08-01,online,paypal,77.45
47,1389,2024-05-19,online,giftcard,3145.7
48,1128,2025-04-14,store,giftcard,200.0
49,1452,2024-09-16,online,giftcard,35.55
50,207,2025-06-28,online,applepay,53.24
51,1351,2024-06-03,store,applepay,1916.3
52,766,2025-07-02,online,card,32.07
53,943,2025-03-29,online,card,146.87
54,928,2024-08-16,store,giftcard,267.48
55,1258,2024-09-19,online,paypal,148.22
56,877,2024-07-24,store,card,183.79
57,684,2024-11-01,online,applepay,189.63
58,522,2025-03-13,online,giftcard,63.61
59,576,2025-02-01,online,giftcard,109.49
60,772,2025-05-22,store,paypal,1716.73
61,629,2025-04-08,online,paypal,112.17
62,1137,2023-11-24,online,giftcard,1299.16
63,692,2024-02-10,store,card,50.07
