return_id,order_item_id,request_date,days_since_purchase,receipt_flag,item_condition,return_reason,label
1,3673,2025-04-15,24,1,new,Changed mind,eligible
2,634,2024-10-10,27,1,new,Wrong item,eligible
3,303,2025-11-27,58,0,new,No reason,ineligible
4,7305,2025-07-09,38,1,tried-on,Too small,eligible
5,14644,2025-06-18,55,1,new,Defective,ineligible
6,1,2025-04-07,3,1,tried-on,No reason,eligible
7,4118,2024-07-27,23,1,new,Defective,eligible
8,15797,2024-03-21,47,1,worn,Too large,ineligible
9,1944,2024-12-02,51,1,new,Too small,ineligible
10,2707,2025-08-18,21,1,new,No reason,eligible
11,10330,2025-03-04,1,0,damaged,Too small,ineligible
12,1564,2025-04-13,39,1,tried-on,Defective,ineligible
13,10731,2025-09-27,47,0,new,Defective,ineligible
14,15795,2024-09-05,36,1,new,Wrong item,needs_review
15,14042,2024-09-30,38,1,tried-on,Too large,ineligible
16,201,2024-06-03,50,1,tried-on,Changed mind,ineligible
17,922,2023-12-26,46,1,new,Changed mind,ineligible
18,8596,2024-08-13,20,1,new,Defective,ineligible
19,11017,2025-01-17,57,1,new,Wrong item,eligible
20,15162,2025-12-07,44,1,new,Changed mind,ineligible
21,12789,2025-09-18,39,1,new,Defective,ineligible
22,3187,2025-03-15,54,0,new,Defective,ineligible
23,15396,2023-12-10,3,1,new,Wrong item,eligible
24,155,2025-06-20,14,1,new,No reason,ineligible
25,837,2024-01-19,46,1,tried-on,Changed mind,ineligible
26,12723,2024-10-29,29,1,tried-on,Defective,eligible
27,8686,2025-07-18,22,0,new,Changed mind,needs_review
28,11274,2024-05-02,15,1,new,Defective,needs_review
29,2293,2024-01-25,58,1,tried-on,Defective,ineligible
30,14092,2025-07-29,46,1,new,Too large,ineligible
31,4002,2025-09-26,6,0,new,Wrong item,needs_review
32,3529,2025-10-08,53,0,new,Wrong item,ineligible
33,10388,2024-03-16,17,1,tried-on,Changed mind,eligible
34,9486,2025-07-02,36,1,new,No reason,ineligible
35,4455,2024-01-03,24,1,worn,Changed mind,ineligible
36,21,2024-04-05,44,1,tried-on,Changed mind,eligible
37,9727,2024-05-09,52,1,worn,Changed mind,ineligible
38,632,2025-11-09,44,1,new,No reason,eligible
39,4213,2024-01-31,43,1,new,Wrong item,ineligible
40,6960,2024-08-13,3,1,new,No reason,eligible
41,4522,2025-07-12,7,1,tried-on,Too small,eligible
42,652,2025-01-14,57,1,new,Wrong item,eligible
43,4684,2025-10-17,46,1,new,No reason,ineligible
44,14467,2024-08-09,10,1,tried-on,Changed mind,eligible
45,9201,2024-04-07,57,1,new,Too small,eligible
