return_id,order_item_id,request_date,days_since_purchase,receipt_flag,item_condition,return_reason,label,order_id,brand,category,price,discount,sale_flag,customer_id
1,3673,2025-04-15,24,1,new,Changed mind,eligible,1851,Shein,Home,28.04,0.0,0,346
2,634,2024-10-10,27,1,new,Wrong item,eligible,307,H&M,Tops,111.45,0.0,0,1121
3,303,2025-11-27,58,0,new,No reason,ineligible,141,H&M,Jeans,57.65,0.0,0,1185
4,7305,2025-07-09,38,1,tried-on,Too small,eligible,3634,Under Armour,Lingerie,117.59,0.0,0,1316
5,14644,2025-06-18,55,1,new,Defective,ineligible,7339,Urban Outfitters,Jeans,42.88,0.0,0,486
6,1,2025-04-07,3,1,tried-on,No reason,eligible,1,Zara,Lingerie,46.07,0.0,0,1255
7,4118,2024-07-27,23,1,new,Defective,eligible,2069,Zara,Footwear,101.7,0.0,0,214
8,15797,2024-03-21,47,1,worn,Too large,ineligible,7903,Zara,Outerwear,52.29,0.0,0,318
9,1944,2024-12-02,51,1,new,Too small,ineligible,960,H&M,Tops,29.9,0.0,0,632
10,2707,2025-08-18,21,1,new,No reason,eligible,1355,Shein,Outerwear,24.83,0.0,0,449
11,10330,2025-03-04,1,0,damaged,Too small,ineligible,5149,Under Armour,Swimwear,100.3,6.66,1,347
12,1564,2025-04-13,39,1,tried-on,Defective,ineligible,765,Zara,Activewear,46.2,10.74,1,865
13,10731,2025-09-27,47,0,new,Defective,ineligible,5352,Urban Outfitters,Activewear,50.62,0.0,0,984
14,15795,2024-09-05,36,1,new,Wrong item,needs_review,7902,Shein,Bags,24.68,0.0,0,1044
15,14042,2024-09-30,38,1,tried-on,Too large,ineligible,7040,Girlfriend Collective,Dresses,69.63,0.0,0,170
16,201,2024-06-03,50,1,tried-on,Changed mind,ineligible,91,Loewe,Bags,1616.77,0.0,0,265
17,922,2023-12-26,46,1,new,Changed mind,ineligible,453,Loewe,Dresses,1819.99,0.0,0,1236
18,8596,2024-08-13,20,1,new,Defective,ineligible,4285,Zara,Beauty,71.9,0.0,0,1269
19,11017,2025-01-17,57,1,new,Wrong item,eligible,5502,Under Armour,Outerwear,75.2,0.0,0,797
20,15162,2025-12-07,44,1,new,Changed mind,ineligible,7592,Shein,Lingerie,14.9,0.0,0,138
21,12789,2025-09-18,39,1,new,Defective,ineligible,6407,Loewe,Accessories,801.6,0.0,0,1163
22,3187,2025-03-15,54,0,new,Defective,ineligible,1600,Loewe,Beauty,688.71,0.0,0,415
23,15396,2023-12-10,3,1,new,Wrong item,eligible,7710,Girlfriend Collective,Jeans,55.94,0.0,0,73
24,155,2025-06-20,14,1,new,No reason,ineligible,71,Urban Outfitters,Beauty,35.12,0.0,0,603
25,837,2024-01-19,46,1,tried-on,Changed mind,ineligible,411,Shein,Tops,17.34,0.0,0,1191
26,12723,2024-10-29,29,1,tried-on,Defective,eligible,6375,Girlfriend Collective,Home,42.1,0.0,0,1104
27,8686,2025-07-18,22,0,new,Changed mind,needs_review,4328,Zara,Outerwear,86.37,12.6,1,432
28,11274,2024-05-02,15,1,new,Defective,needs_review,5637,Chanel,Activewear,1033.81,0.0,0,1219
29,2293,2024-01-25,58,1,tried-on,Defective,ineligible,1138,H&M,Lingerie,70.73,0.0,0,341
30,14092,2025-07-29,46,1,new,Too large,ineligible,7064,H&M,Beauty,73.1,0.0,0,1153
31,4002,2025-09-26,6,0,new,Wrong item,needs_review,2013,Urban Outfitters,Swimwear,62.61,0.0,0,150
32,3529,2025-10-08,53,0,new,Wrong item,ineligible,1772,H&M,Tops,18.44,0.0,0,229
33,10388,2024-03-16,17,1,tried-on,Changed mind,eligible,5181,H&M,Tops,51.96,0.0,0,48
34,9486,2025-07-02,36,1,new,No reason,ineligible,4719,Loewe,Lingerie,846.43,0.0,0,908
35,4455,2024-01-03,24,1,worn,Changed mind,ineligible,2236,Chanel,Activewear,537.12,0.0,0,1347
36,21,2024-04-05,44,1,tried-on,Changed mind,eligible,9,Under Armour,Footwear,112.33,0.0,0,493
37,9727,2024-05-09,52,1,worn,Changed mind,ineligible,4840,Loewe,Accessories,420.06,0.0,0,1178
38,632,2025-11-09,44,1,new,No reason,eligible,306,Under Armour,Activewear,135.13,0.0,0,1264
39,4213,2024-01-31,43,1,new,Wrong item,ineligible,2119,Gucci,Lingerie,1021.83,0.0,0,640
40,6960,2024-08-13,3,1,new,No reason,eligible,3461,Loewe,Activewear,537.43,0.0,0,823
41,4522,2025-07-12,7,1,tried-on,Too small,eligible,2274,H&M,Activewear,83.02,23.37,1,911
42,652,2025-01-14,57,1,new,Wrong item,eligible,316,Under Armour,Dresses,105.89,27.95,1,220
43,4684,2025-10-17,46,1,new,No reason,ineligible,2357,Chanel,Jeans,1949.85,0.0,0,911
44,14467,2024-08-09,10,1,tried-on,Changed mind,eligible,7249,Loewe,Dresses,2419.43,0.0,0,1087
45,9201,2024-04-07,57,1,new,Too small,eligible,4579,Under Armour,Home,71.18,3.97,1,996
46,14760,2024-05-04,12,1,new,Defective,eligible,7397,Gucci,Outerwear,3225.55,0.0,0,586
47,11691,2025-10-11,52,1,new,Wrong item,ineligible,5848,Girlfriend Collective,Bags,89.03,0.0,0,1170
48,13576,2024-09-16,23,1,tried-on,No reason,eligible,6810,Urban Outfitters,Lingerie,97.87,0.0,0,852
49,4020,2024-02-20,39,1,new,Too large,ineligible,2023,Zara,Activewear,72.25,19.5,1,1094
50,8627,2025-03-17,49,1,new,Wrong item,ineligible,4298,Zara,Footwear,24.98,0.0,0,1245
51,2712,2024-01-16,17,1,new,Too small,eligible,1358,Girlfriend Collective,Swimwear,41.25,0.0,0,492
52,12799,2025-09-08,49,0,tried-on,No reason,ineligible,6413,H&M,Dresses,73.3,0.0,0,766
53,12681,2025-04-15,21,1,new,Defective,eligible,6352,Urban Outfitters,Lingerie,36.82,0.0,0,596
54,14977,2024-04-19,2,1,new,Wrong item,eligible,7501,Urban Outfitters,Jeans,99.63,0.0,0,864
55,2644,2025-02-07,40,1,new,Changed mind,ineligible,1325,Chanel,Swimwear,802.78,0.0,0,1475
56,1872,2025-11-11,3,1,new,Defective,eligible,922,Urban Outfitters,Outerwear,89.57,0.0,0,1028
57,10809,2024-09-04,31,1,new,Too small,ineligible,5390,Gucci,Outerwear,4099.51,0.0,0,33
58,5372,2025-08-17,59,1,tried-on,Wrong item,ineligible,2698,Chanel,Tops,1964.09,0.0,0,1022
59,6160,2024-03-11,59,1,new,Changed mind,ineligible,3076,Chanel,Lingerie,493.83,0.0,0,1315
60,6540,2024-10-26,57,0,new,Too large,ineligible,3260,Shein,Bags,21.27,0.0,0,574
61,5784,2024-10-21,54,1,new,Defective,ineligible,2896,Under Armour,Beauty,84.16,12.06,1,457
